Company,Country,Sector,Industry
Mitsubishi Heavy Industries,Japan,Industrials,Heavy Equipment
Republic Services,United States,Industrials,Environmental & Waste
Ericsson,Sweden,Information Technology,Communications Equipment
Isuzu Motors,Japan,Consumer Discretionary,Auto & Truck Manufacturers
Anhui Conch Cement,China,Materials,Construction Materials
First Data,United States,Information Technology,
Vonovia,Germany,,
Telenor,Norway,Telecommunication Services,Telecommunications services
Halliburton,United States,Energy,Oil Services & Equipment
PPG,United States,Materials,
CGN Power,China,Energy,
Bankia,Spain,Financials,Regional Banks
Chunghwa Telecom,Taiwan,Telecommunication Services,Telecommunications services
Veolia Environnement,France,Utilities,Diversified Utilities
Occidental Petroleum,United States,Energy,Oil & Gas Operations
J Sainsbury,United Kingdom,Consumer Staples,Food Retail
Bancolombia,Colombia,Financials,Regional Banks
Sherwin-Williams,United States,Consumer Discretionary,Home Improvement Retail
NVIDIA,United States,Information Technology,Semiconductors
HAL Trust,Netherlands,Financials,Investment Services
VF,United States,Consumer Discretionary,Apparel/Accessories
Yum Brands,United States,Consumer Discretionary,Restaurants
Qingdao Haier,China,Consumer Discretionary,Household Appliances
Prologis,United States,Financials,Real Estate
Goodyear,United States,Consumer Discretionary,Auto & Truck Parts
Liberty Interactive,United States,Consumer Discretionary,Internet & Catalog Retail
Coca-Cola European Partners,United Kingdom,,
Ross Stores,United States,Consumer Discretionary,Apparel/Footwear Retail
CNH Industrial,United Kingdom,Materials,
Macy's,United States,Consumer Discretionary,Department Stores
XL Group,Bermuda,Financials,Diversified Insurance
Parker-Hannifin,United States,Industrials,Other Industrial Equipment
Sabanci Holding,Turkey,Industrials,Conglomerates
Annaly Capital Management,United States,Financials,Real Estate
Industrial Bank of Korea,South Korea,Financials,Regional Banks
Hanwha,South Korea,,
Essilor International,France,Health Care,Medical Equipment & Supplies
Kotak Mahindra Bank,India,Financials,Regional Banks
Kyushu Electric Power,Japan,Utilities,Electric Utilities
Scor,France,Financials,Diversified Insurance
Chongqing Changan Auto,China,Consumer Discretionary,Auto & Truck Manufacturers
Husky Energy,Canada,Energy,Oil & Gas Operations
China Energy Engineering,China,Energy,
Abertis,Spain,Industrials,Other Transportation
Huatai Securities,China,Financials,Investment Services
Luxottica Group,Italy,Consumer Discretionary,Specialty Stores
Teck Resources,Canada,Materials,Diversified Metals & Mining
Lotte Chemical,South Korea,Materials,Specialized Chemicals
Tohoku Electric Power,Japan,Utilities,Electric Utilities
Western Digital,United States,Information Technology,Computer Storage Devices
National Bank of Kuwait,Kuwait,Financials,Regional Banks
Rolls-Royce Holdings,United Kingdom,Industrials,Aerospace & Defense
Japan Airlines,Japan,Industrials,Airline
Credicorp,Peru,Financials,Regional Banks
UPM-Kymmene,Finland,Materials,Paper & Paper Products
Guangdong Wens Foodstuffs Group,China,Consumer Staples,
Toyota Tsusho,Japan,Industrials,Trading Companies
Wipro,India,Information Technology,Computer Services
Hilton,United States,,
Daqin Railway,China,Industrials,Railroads
Lennar,United States,Industrials,Construction Services
Ferrovial,Spain,Industrials,Other Transportation
Anadarko Petroleum,United States,Energy,Oil & Gas Operations
Scentre Group,Australia,,
AutoZone,United States,Consumer Discretionary,Specialty Stores
Agrium,Canada,Materials,Specialized Chemicals
Vestas Wind Systems,Denmark,Industrials,Electrical Equipment
China Resources Power,Hong Kong,Utilities,Electric Utilities
Freeport-mcmoran,United States,,
Samba Financial Group,Saudi Arabia,Financials,Regional Banks
ROSSETI,Russia,Energy,
Schaeffler,Germany,Industrials,
GD Power Development,China,Utilities,Electric Utilities
Adecco,Switzerland,Consumer Discretionary,Business & Personal Services
Discovery Communications,United States,Consumer Discretionary,Broadcasting & Cable
Canadian Natural Resources,Canada,Energy,Oil & Gas Operations
Ryanair Holdings,Ireland,Industrials,Airline
Huntington Bancshares,United States,Financials,Regional Banks
Hong Kong Exchanges,Hong Kong,Financials,Investment Services
Carlsberg,Denmark,Consumer Staples,Beverages
Porsche Automobil Holding,Germany,Consumer Discretionary,Auto & Truck Manufacturers
Kone,Finland,Industrials,Construction Services
CarMax,United States,Consumer Discretionary,Specialty Stores
Itaúsa,Brazil,,
Sime Darby,Malaysia,Industrials,Conglomerates
Wolseley,Switzerland,Materials,Construction Materials
Air France-KLM,France,Industrials,Airline
Willis Towers Watson,United Kingdom,,
Welltower,United States,,
ITC,India,Consumer Staples,Tobacco
KT Corp,South Korea,Telecommunication Services,Telecommunications services
OMV Group,Austria,Energy,Oil & Gas Operations
Sumitomo Chemical,Japan,Materials,Diversified Chemicals
Emaar Properties,United Arab Emirates,Financials,Real Estate
VEON,Netherlands,Telecommunication Services,
Eiffage,France,Industrials,Construction Services
Bangkok Bank,Thailand,Financials,Regional Banks
Metro Group,Germany,Consumer Staples,Food Retail
CSL,Australia,Health Care,Biotechs
Hindustan Petroleum,India,Energy,Oil & Gas Operations
DR Horton,United States,Industrials,Construction Services
Leonardo,Italy,,
Shenwan Hongyuan Group,China,,
LG Electronics,South Korea,Consumer Discretionary,Consumer Electronics
Kuehne + Nagel,Switzerland,Industrials,Other Transportation
FirstEnergy,United States,Utilities,Electric Utilities
Magnit,Russia,Consumer Staples,Food Retail
S&P Global,United States,,
Chongqing Rural Bank,Hong Kong,Financials,Regional Banks
Toshiba,Japan,Information Technology,Electronics
General Growth Properties,United States,Financials,Real Estate
JFE Holdings,Japan,Materials,Iron & Steel
Netease,China,Information Technology,Computer Services
LabCorp,United States,Health Care,Healthcare Services
ATOS,France,Information Technology,Computer Services
Fanuc,Japan,Industrials,Other Industrial Equipment
SM Investments,Philippines,Consumer Discretionary,Department Stores
Hyundai Steel,South Korea,Materials,Iron & Steel
Eastman Chemical,United States,Materials,Specialized Chemicals
O'Reilly Automotive,United States,Consumer Discretionary,Specialty Stores
L Brands,United States,Consumer Discretionary,Apparel/Footwear Retail
First Republic Bank,United States,Financials,Regional Banks
S-Oil,South Korea,Energy,Oil & Gas Operations
EOG Resources,United States,Energy,Oil & Gas Operations
Secom,Japan,Industrials,Security Systems
LG Corp,South Korea,Consumer Discretionary,Household Appliances
Abu Dhabi Commercial Bank,United Arab Emirates,Financials,Regional Banks
Hermès International,France,,
Link REIT,Hong Kong,Financials,Real Estate
TD Ameritrade Holding,United States,Financials,Investment Services
Sanlam,South Africa,Financials,Life & Health Insurance
Daiichi Sankyo,Japan,Health Care,Pharmaceuticals
Norsk Hydro,Norway,Materials,Aluminum
Williams,United States,,
Guangzhou Automobile Group,China,,
American Financial Group,United States,Financials,Diversified Insurance
NXP Semiconductors,Netherlands,Information Technology,Semiconductors
China National Nuclear Power,China,Energy,
Athene Holding,Bermuda,Energy,
Woodside Petroleum,Australia,Energy,Oil & Gas Operations
Boston Scientific,United States,Health Care,Medical Equipment & Supplies
Raiffeisen Bank International,Austria,Financials,Major Banks
AMP,Australia,Financials,Investment Services
Formosa Plastics,Taiwan,Materials,Specialized Chemicals
China Steel,Taiwan,Materials,Iron & Steel
Bank of Ireland,Ireland,Financials,Major Banks
China Gezhouba,China,Industrials,Construction Services
Bâloise Group,Switzerland,,
Rakuten,Japan,Consumer Discretionary,Internet & Catalog Retail
Ameren,United States,Utilities,Electric Utilities
Symantec,United States,Information Technology,Software & Programming
Yara International,Norway,Materials,Specialized Chemicals
Assa Abloy,Sweden,Industrials,Other Industrial Equipment
Shengjing Bank,China,Financials,
Aena,Spain,Industrials,
Mega Financial Holding,Taiwan,Financials,Investment Services
Shanghai International Port,China,Industrials,Other Transportation
Tokyo Gas,Japan,Utilities,Natural Gas Utilities
Mohawk Industries,United States,Consumer Discretionary,Furniture & Fixtures
Ooredoo Telecom,Qatar,Telecommunication Services,Telecommunications services
China Galaxy Securities,China,Financials,
Unipol Gruppo,Italy,Financials,Diversified Insurance
Quanta Computer,Taiwan,Information Technology,Computer Hardware
Lam Research,United States,Materials,
China Merchants Securities,China,Financials,Investment Services
Bank of Jinzhou,China,Financials,
Entergy,United States,Utilities,Electric Utilities
Canadian Pacific Railway,Canada,Industrials,Railroads
JM Smucker,United States,Consumer Staples,Food Processing
NEC,Japan,Information Technology,Electronics
Kingfisher,United Kingdom,Consumer Discretionary,Home Improvement Retail
Lear,United States,Consumer Discretionary,Auto & Truck Parts
Taisei,Japan,Industrials,Construction Services
Kajima,Japan,Industrials,Construction Services
Sandvik,Sweden,Industrials,Other Industrial Equipment
DP World,United Arab Emirates,Industrials,Other Transportation
Pegatron,Taiwan,Information Technology,Electronics
Power Grid of India,India,Utilities,Electric Utilities
Obayashi,Japan,Industrials,Construction Services
Zimmer Biomet,United States,Industrials,
Devon Energy,United States,Energy,Oil & Gas Operations
Hormel Foods,United States,Consumer Staples,Food Processing
Julius Baer Group,Switzerland,Financials,Investment Services
S.f. Holding,China,Financials,
Schindler Holding,Switzerland,Industrials,Other Industrial Equipment
Avalonbay Communities,United States,Financials,Real Estate
Cencosud,Chile,Consumer Staples,Food Retail
JBS,Brazil,Consumer Staples,Food Processing
Uniper,Germany,Energy,
Suning Appliance,China,Consumer Discretionary,Specialty Stores
Yahoo!,United States,Information Technology,
L3 Technologies,United States,Information Technology,
CEZ Group,Czech Republic,Utilities,Electric Utilities
PKO Bank Polski,Poland,Financials,Regional Banks
Alliance Data Systems,United States,Consumer Discretionary,Business & Personal Services
AerCap Holdings,Ireland,Financials,
Genuine Parts,United States,Consumer Discretionary,Specialty Stores
Fortis (Canada),Canada,Utilities,Electric Utilities
Infineon Technologies,Germany,Information Technology,Semiconductors
Klepierre,France,,
Randstad Holding,Netherlands,Consumer Discretionary,Business & Personal Services
Skanska,Sweden,Industrials,Construction Services
Raymond James Financial,United States,Financials,Investment Services
Gemdale,China,Financials,Real Estate
Invesco,United States,Financials,Investment Services
DSM,Netherlands,Materials,Diversified Chemicals
Ageas,Belgium,Financials,Diversified Insurance
