Company,Country,Sector,Industry
ICBC,China,Financials,Major Banks
China Construction Bank,China,Financials,Regional Banks
Berkshire Hathaway,United States,Financials,Investment Services
JPMorgan Chase,United States,Financials,Major Banks
Wells Fargo,United States,Financials,Major Banks
Agricultural Bank of China,China,Financials,Regional Banks
Bank of America,United States,Financials,Major Banks
Bank of China,China,Financials,Major Banks
Apple,United States,Information Technology,Computer Hardware
Toyota Motor,Japan,Consumer Discretionary,Auto & Truck Manufacturers
AT&T,United States,Telecommunication Services,Telecommunications services
Citigroup,United States,Financials,Major Banks
Exxon Mobil,United States,Energy,
General Electric,United States,Industrials,Conglomerates
Samsung Electronics,South Korea,Information Technology,Semiconductors
Ping An Insurance Group,China,Financials,Diversified Insurance
Wal-Mart Stores,United States,Consumer Discretionary,Discount Stores
Verizon Communications,United States,Telecommunication Services,Telecommunications services
Microsoft,United States,Information Technology,Software & Programming
Royal Dutch Shell,Netherlands,Energy,Oil & Gas Operations
Allianz,Germany,Financials,Diversified Insurance
China Mobile,Hong Kong,Telecommunication Services,Telecommunications services
BNP Paribas,France,Financials,Major Banks
Alphabet,United States,Information Technology,
China Petroleum & Chemical,China,Energy,
Total,France,Energy,Oil & Gas Operations
AXA Group,France,Financials,Diversified Insurance
Daimler,Germany,Consumer Discretionary,Auto & Truck Manufacturers
Volkswagen Group,Germany,Consumer Discretionary,Auto & Truck Manufacturers
Mitsubishi UFJ Financial,Japan,Financials,Major Banks
Comcast,United States,Consumer Discretionary,Broadcasting & Cable
Johnson & Johnson,United States,Health Care,Medical Equipment & Supplies
Banco Santander,Spain,Financials,Major Banks
Bank of Communications,China,Financials,Major Banks
Nestle,Switzerland,Consumer Staples,Food Processing
UnitedHealth Group,United States,Health Care,Managed Health Care
Nippon Telegraph & Tel,Japan,Telecommunication Services,Telecommunications services
Itaú Unibanco Holding,Brazil,Financials,
Softbank,Japan,Telecommunication Services,Telecommunications services
Gazprom,Russia,Energy,Oil & Gas Operations
General Motors,United States,Consumer Discretionary,Auto & Truck Manufacturers
China Merchants Bank,China,Financials,Major Banks
IBM,United States,Information Technology,Computer Services
Royal Bank of Canada,Canada,Financials,Major Banks
Japan Post Holdings,Japan,Consumer Discretionary,
Procter & Gamble,United States,Consumer Staples,Household/Personal Care
Pfizer,United States,Health Care,Pharmaceuticals
HSBC Holdings,United Kingdom,Financials,Major Banks
Goldman Sachs Group,United States,Financials,Investment Services
Siemens,Germany,Industrials,Conglomerates
BMW Group,Germany,Consumer Discretionary,Auto & Truck Manufacturers
China Life Insurance,China,Financials,Life & Health Insurance
ING Group,Netherlands,Financials,Life & Health Insurance
Intel,United States,Information Technology,Semiconductors
Postal Savings Bank Of China,China,Financials,
Sberbank,Russia,Financials,Regional Banks
TD Bank Group,Canada,Financials,Major Banks
Cisco Systems,United States,Information Technology,Communications Equipment
Commonwealth Bank,Australia,Financials,Major Banks
Morgan Stanley,United States,Financials,Investment Services
Novartis,Switzerland,Health Care,Pharmaceuticals
Banco Bradesco,Brazil,Financials,Regional Banks
Industrial Bank,China,Financials,Regional Banks
Ford Motor,United States,Consumer Discretionary,Auto & Truck Manufacturers
Shanghai Pudong Development,China,Financials,Regional Banks
CVS Health,United States,Financials,
Walt Disney,United States,Consumer Discretionary,Broadcasting & Cable
Prudential,United Kingdom,Financials,Life & Health Insurance
Prudential Financial,United States,Financials,Life & Health Insurance
Oracle,United States,Information Technology,Software & Programming
China State Construction Engineering,China,Industrials,
Citic Pacific,Hong Kong,Materials,Iron & Steel
Boeing,United States,Industrials,Aerospace & Defense
Honda Motor,Japan,Consumer Discretionary,Auto & Truck Manufacturers
China Minsheng Banking,China,Financials,Regional Banks
Westpac Banking Group,Australia,Financials,Major Banks
Deutsche Telekom,Germany,Telecommunication Services,Telecommunications services
China Citic Bank,China,Financials,Regional Banks
Roche Holding,Switzerland,Health Care,Pharmaceuticals
UBS,Switzerland,Financials,Investment Services
Bank of Nova Scotia,Canada,Financials,Major Banks
Rosneft,Russia,Energy,Oil & Gas Operations
Amazon.com,United States,Consumer Discretionary,Internet & Catalog Retail
PepsiCo,United States,Consumer Staples,Beverages
Sumitomo Mitsui Financial,Japan,Financials,Major Banks
Coca-Cola,United States,Consumer Staples,Beverages
United Technologies,United States,Industrials,Conglomerates
Sanofi,France,Health Care,Pharmaceuticals
Bayer,Germany,Materials,Diversified Chemicals
Mizuho Financial,Japan,Financials,Major Banks
Zurich Insurance Group,Switzerland,Financials,Diversified Insurance
ANZ,Australia,Financials,Major Banks
BASF,Germany,Materials,Diversified Chemicals
Walgreens Boots Alliance,United States,Consumer Discretionary,
Nissan Motor,Japan,Consumer Discretionary,Auto & Truck Manufacturers
US Bancorp,United States,Financials,Major Banks
American Express,United States,Financials,Consumer Financial Services
Hon Hai Precision,Taiwan,Information Technology,Electronics
Enel,Italy,Utilities,Electric Utilities
Merck,United States,Health Care,Pharmaceuticals
National Australia Bank,Australia,Financials,Major Banks
PetroChina,China,Energy,Oil & Gas Operations
Unilever,Netherlands,Consumer Staples,Food Processing
Hyundai Motor,South Korea,Consumer Discretionary,Auto & Truck Manufacturers
BBVA-Banco Bilbao Vizcaya,Spain,Financials,Major Banks
Reliance Industries,India,Energy,Oil & Gas Operations
Charter Communications,United States,Consumer Discretionary,Broadcasting & Cable
SAIC Motor,China,Consumer Discretionary,Auto & Truck Manufacturers
Chubb,Switzerland,Financials,Property & Casualty Insurance
Telefónica,Spain,Telecommunication Services,
AIA Group,Hong Kong,Financials,Life & Health Insurance
Société Générale,France,,
Dow Chemical,United States,Materials,Diversified Chemicals
Home Depot,United States,Consumer Discretionary,Home Improvement Retail
Lloyds Banking Group,United Kingdom,Financials,Major Banks
Medtronic,Ireland,Health Care,Medical Equipment & Supplies
Kraft Heinz Company,United States,Consumer Staples,
Saudi Basic Industries,Saudi Arabia,Materials,Diversified Chemicals
Facebook,United States,Information Technology,Computer Services
Munich Re,Germany,Financials,Diversified Insurance
Intesa Sanpaolo,Italy,Financials,Major Banks
Barclays,United Kingdom,Financials,Major Banks
Rio Tinto,United Kingdom,Materials,Diversified Metals & Mining
BHP Billiton,Australia,Materials,Diversified Metals & Mining
CK Hutchison,Hong Kong,Energy,
Anheuser-Busch InBev,Belgium,Consumer Staples,Beverages
Taiwan Semiconductor,Taiwan,Information Technology,Semiconductors
Capital One Financial,United States,Financials,Consumer Financial Services
LukOil,Russia,Energy,Oil & Gas Operations
Swiss Re,Switzerland,Financials,Diversified Insurance
Amgen,United States,Health Care,Biotechs
Banco do Brasil,Brazil,Financials,Major Banks
Bank of Montreal,Canada,Financials,Major Banks
Gilead Sciences,United States,Health Care,Biotechs
China Communications Construction,China,Industrials,Construction Services
Honeywell International,United States,Industrials,Conglomerates
Manulife,Canada,Consumer Discretionary,
Korea Electric Power,South Korea,Utilities,Electric Utilities
Generali Group,Italy,Financials,Diversified Insurance
Alibaba,China,Telecommunication Services,
KDDI,Japan,Telecommunication Services,Telecommunications services
China Telecom,China,Telecommunication Services,Telecommunications services
AbbVie,United States,Health Care,Pharmaceuticals
Tokio Marine Holdings,Japan,Financials,Property & Casualty Insurance
Iberdrola,Spain,Utilities,Electric Utilities
EDF,France,Utilities,Electric Utilities
PNC Financial Services,United States,Financials,Regional Banks
Tencent Holdings,China,Information Technology,Computer Services
Allergan,Ireland,Health Care,Pharmaceuticals
China Everbright Bank,China,Financials,Regional Banks
Credit Agricole,France,Financials,Major Banks
Lockheed Martin,United States,Industrials,Aerospace & Defense
Time Warner,United States,Consumer Discretionary,Broadcasting & Cable
Duke Energy,United States,Utilities,Electric Utilities
Anthem,United States,,
Vale,Brazil,Materials,Iron & Steel
Nordea Bank,Sweden,Financials,Regional Banks
Express Scripts,United States,Health Care,Healthcare Services
United Parcel Service,United States,Industrials,Air Courier
Aetna,United States,Health Care,Managed Health Care
China Shenhua Energy,China,Materials,Diversified Metals & Mining
VINCI,France,Industrials,Construction Services
Bank of New York Mellon,United States,Financials,Major Banks
Renault,France,Consumer Discretionary,Auto & Truck Manufacturers
China Railway Group,China,Industrials,Construction Services
EADS,Netherlands,Industrials,Aerospace & Defense
China Railway Construction,China,Industrials,Construction Services
China Vanke,China,Financials,Real Estate
Jardine Matheson,Hong Kong,Industrials,Conglomerates
Qualcomm,United States,Information Technology,Semiconductors
Hewlett Packard Enterprise,United States,Information Technology,
British American Tobacco,United Kingdom,Consumer Staples,Tobacco
Visa,United States,Financials,Consumer Financial Services
China Pacific Insurance,China,Financials,Life & Health Insurance
MetLife,United States,Financials,Diversified Insurance
AstraZeneca,United Kingdom,Health Care,Pharmaceuticals
Altria Group,United States,Consumer Staples,Tobacco
SAP,Germany,Information Technology,Software & Programming
Costco Wholesale,United States,Consumer Discretionary,Discount Stores
Travelers,United States,,
Philip Morris International,United States,Consumer Staples,Tobacco
Union Pacific,United States,Industrials,Railroads
Delta Air Lines,United States,Industrials,Airline
Southern Company,United States,,
Lowe's,United States,Energy,
National Grid,United Kingdom,Utilities,Natural Gas Utilities
Legal & General Group,United Kingdom,Financials,Life & Health Insurance
McKesson,United States,Health Care,Pharmaceuticals
Christian Dior,France,Consumer Discretionary,Apparel/Accessories
PTT PCL,Thailand,Energy,Oil & Gas Operations
Dai-ichi Life Insurance,Japan,Financials,Life & Health Insurance
Twenty-First Century Fox,United States,,
Canadian Imperial Bank,Canada,Financials,Major Banks
FedEx,United States,Industrials,Air Courier
GlaxoSmithKline,United Kingdom,Health Care,Pharmaceuticals
Deutsche Post,Germany,Industrials,Air Courier
3M,United States,Industrials,Conglomerates
L'Oréal Group,France,Industrials,
Aflac,United States,Financials,Life & Health Insurance
Allstate,United States,Financials,Diversified Insurance
Hitachi,Japan,Information Technology,Electronics
Brookfield Asset Management,Canada,Financials,Real Estate
BT Group,United Kingdom,Telecommunication Services,Telecommunications services
NextEra Energy,United States,Utilities,Electric Utilities
BlackRock,United States,Financials,Investment Services
Continental,Germany,Consumer Discretionary,Auto & Truck Parts
MS&AD Insurance,Japan,Financials,Property & Casualty Insurance
Aviva,United Kingdom,Financials,Life & Health Insurance
Cigna,United States,Health Care,Managed Health Care
Phillips 66,United States,Energy,Oil & Gas Operations
Valero Energy,United States,Energy,Oil & Gas Operations
Enbridge,Canada,Energy,Oil Services & Equipment
Mondelēz International,United States,Consumer Discretionary,
People's Insurance Company,China,Financials,Property & Casualty Insurance
McDonald's,United States,Consumer Discretionary,Restaurants
ArcelorMittal,Luxembourg,Materials,Iron & Steel
East Japan Railway,Japan,Industrials,Railroads
Itochu,Japan,Industrials,Trading Companies
Japan Tobacco,Japan,Consumer Staples,Tobacco
EI du Pont de Nemours,United States,Materials,Diversified Chemicals
Eli Lilly,United States,Health Care,
Panasonic,Japan,Consumer Discretionary,Consumer Electronics
Sun Hung Kai Properties,Hong Kong,Financials,Real Estate
Fiat Chrysler Automobiles,United Kingdom,,
LafargeHolcim,Switzerland,Consumer Discretionary,
Qatar National Bank,Qatar,Financials,Regional Banks
Target,United States,Consumer Discretionary,Discount Stores
Fresenius,Germany,Health Care,Medical Equipment & Supplies
Danaher,United States,Industrials,Conglomerates
Danske Bank,Denmark,Financials,Major Banks
General Dynamics,United States,Industrials,Aerospace & Defense
Reynolds American,United States,Consumer Staples,Tobacco
Denso,Japan,Consumer Discretionary,Auto & Truck Parts
Bristol-Myers Squibb,United States,Health Care,Pharmaceuticals
CRRC,China,,
ABB,Switzerland,Industrials,Conglomerates
Exelon,United States,Utilities,Electric Utilities
Cathay Financial,Taiwan,Financials,Life & Health Insurance
Sun Life Financial,Canada,Financials,Life & Health Insurance
Repsol,Spain,Energy,
Kroger,United States,Consumer Staples,Food Retail
Abbott Laboratories,United States,Health Care,Pharmaceuticals
HCA Holdings,United States,Health Care,Healthcare Services
State Bank of India,India,Financials,Regional Banks
DBS Group,Singapore,Financials,Major Banks
Oil & Natural Gas,India,Energy,Oil & Gas Operations
American Airlines Group,United States,Financials,
BB&T,United States,Financials,Regional Banks
Nike,United States,Financials,
Schneider Electric,France,Industrials,Electrical Equipment
Thermo Fisher Scientific,United States,Utilities,Precision Healthcare Equipment
Danone,France,Consumer Staples,Food Processing
Samsung Life Insurance,South Korea,Financials,Life & Health Insurance
Air Liquide,France,Materials,Specialized Chemicals
Huaxia Bank,China,Financials,Regional Banks
Orix,Japan,Financials,Consumer Financial Services
Bank of Beijing,China,Financials,Regional Banks
HDFC Bank,India,Financials,Regional Banks
KBC Group,Belgium,Financials,Major Banks
Deere & Company,United States,Consumer Staples,
Diageo,United Kingdom,Consumer Staples,Beverages
Central Japan Railway,Japan,Industrials,Railroads
Liberty Global,United Kingdom,Consumer Discretionary,Broadcasting & Cable
Indian Oil,India,Energy,Oil & Gas Operations
Shinhan Financial Group,South Korea,Financials,Investment Services
Canon,Japan,Industrials,Business Products & Supplies
Synchrony Financial,United States,Financials,
Saint-Gobain,France,Materials,Construction Materials
United Continental Holdings,United States,Industrials,Airline
Carnival,United States,Consumer Discretionary,Hotels & Motels
HP,United States,Information Technology,
Accenture,Ireland,Information Technology,Computer Services
Country Garden Holdings,Hong Kong,Financials,Real Estate
State Street,United States,Financials,Investment Services
Volvo Group,Sweden,Industrials,Heavy Equipment
Inditex,Spain,Consumer Discretionary,Apparel/Footwear Retail
Seven & I Holdings,Japan,Consumer Staples,Food Retail
Mitsubishi Electric,Japan,Industrials,Electrical Equipment
Bridgestone,Japan,Consumer Discretionary,Auto & Truck Parts
PG&E,United States,Utilities,Electric Utilities
Cardinal Health,United States,Health Care,Pharmaceuticals
Telstra,Australia,Telecommunication Services,Telecommunications services
Dominion Resources,United States,Utilities,Electric Utilities
Nomura,Japan,Financials,
Raytheon,United States,Industrials,Aerospace & Defense
Henkel,Germany,Consumer Staples,Household/Personal Care
Marathon Petroleum,United States,Energy,Oil & Gas Operations
Merck,Germany,Health Care,Pharmaceuticals
Peugeot,France,Consumer Discretionary,Auto & Truck Manufacturers
Tata Motors,India,Consumer Discretionary,Auto & Truck Manufacturers
Archer Daniels Midland,United States,Consumer Staples,Food Processing
CNP Assurances,France,Financials,Diversified Insurance
Natixis,France,Financials,Major Banks
China Huarong Asset Management,China,Financials,
Imperial Tobacco Group,United Kingdom,Consumer Staples,Tobacco
BCE,Canada,Telecommunication Services,Telecommunications services
Northrop Grumman,United States,Industrials,Aerospace & Defense
LyondellBasell Industries,United Kingdom,Materials,Diversified Chemicals
Posco,South Korea,Materials,Iron & Steel
Telecom Italia,Italy,Telecommunication Services,Telecommunications services
Oversea-Chinese Banking,Singapore,Financials,Regional Banks
KB Financial Group,South Korea,Financials,Investment Services
Charles Schwab,United States,Financials,Investment Services
Orange,France,Financials,
Surgutneftegas,Russia,Energy,Oil & Gas Operations
Sompo,Japan,Financials,
Gas Natural Fenosa,Spain,Utilities,Natural Gas Utilities
WPP,United Kingdom,Consumer Discretionary,Advertising
Bank Of Shanghai,China,Financials,
ICICI Bank,India,Financials,Regional Banks
Poly Real Estate,China,Financials,Real Estate
Hyundai Mobis,South Korea,Consumer Discretionary,Auto & Truck Parts
DNB,Norway,Financials,Regional Banks
Philips,Netherlands,Industrials,Conglomerates
AmerisourceBergen,United States,Health Care,Pharmaceuticals
Heineken Holding,Netherlands,Consumer Staples,Beverages
CRH,Ireland,Materials,Construction Materials
Discover Financial Services,United States,Financials,Consumer Financial Services
Safran,France,Industrials,Aerospace & Defense
Etisalat,United Arab Emirates,Telecommunication Services,Telecommunications services
CaixaBank,Spain,Financials,Regional Banks
Eaton,Ireland,Industrials,Other Industrial Equipment
Fubon Financial,Taiwan,Financials,Investment Services
Sumitomo,Japan,Financials,
SunTrust Banks,United States,Financials,Regional Banks
Greenland Holdings Group,China,Financials,
China Cinda Asset Management,China,Financials,
Anglo American,United Kingdom,Materials,Diversified Metals & Mining
China Resources Land,Hong Kong,Financials,Real Estate
Royal Ahold Delhaize N.V.,Netherlands,Utilities,
SingTel,Singapore,Telecommunication Services,Telecommunications services
United Overseas Bank,Singapore,Financials,Regional Banks
Subaru,Japan,Financials,
Automatic Data Processing,United States,Consumer Discretionary,
Midea Group,China,Utilities,
Linde,Germany,Materials,Diversified Chemicals
KIA Motors,South Korea,Consumer Discretionary,Auto & Truck Manufacturers
Hartford Financial Services,United States,Financials,Diversified Insurance
Southwest Airlines,United States,Industrials,Airline
América Móvil,Mexico,Financials,
Principal Financial Group,United States,Financials,Life & Health Insurance
Fannie Mae,United States,Financials,Investment Services
Ameriprise Financial,United States,Financials,Investment Services
Macquarie Group,Australia,Financials,Investment Services
Carrefour,France,Consumer Staples,Food Retail
Celgene,United States,Health Care,Biotechs
China Evergrande Group,China,Health Care,
Takeda Pharmaceutical,Japan,Health Care,Pharmaceuticals
SK Hynix,South Korea,Information Technology,Semiconductors
Saudi Telecom,Saudi Arabia,Telecommunication Services,Telecommunications services
Tyson Foods,United States,Consumer Staples,Food Processing
Sinohydro Group,China,Industrials,Construction Services
Reckitt Benckiser Group,United Kingdom,Consumer Staples,Household/Personal Care
CSX,United States,Industrials,Railroads
Freddie Mac,United States,Financials,Investment Services
Lincoln National,United States,Financials,Life & Health Insurance
Kinder Morgan,United States,Energy,Oil Services & Equipment
Power Corp of Canada,Canada,Financials,Life & Health Insurance
BP,United Kingdom,Energy,Oil & Gas Operations
Chevron,United States,Energy,Oil & Gas Operations
Michelin Group,France,Consumer Discretionary,Auto & Truck Parts
Cheung Kong Property Holdings,Hong Kong,Financials,
SK Holdings,South Korea,Energy,Oil & Gas Operations
Gree Electric Appliances,China,Consumer Discretionary,Household Appliances
BAE Systems,United Kingdom,Industrials,Aerospace & Defense
Bank Of Jiangsu,China,Financials,
Edison International,United States,Utilities,Electric Utilities
Kansai Electric Power,Japan,Utilities,Electric Utilities
New China Life Insurance,China,Financials,Life & Health Insurance
Starbucks,United States,Consumer Discretionary,Restaurants
Centrica,United Kingdom,Utilities,Natural Gas Utilities
Biogen,United States,Health Care,
Canadian National Railway,Canada,Industrials,Railroads
HDFC,India,Financials,Consumer Financial Services
Novo Nordisk,Denmark,Health Care,Pharmaceuticals
Swedbank,Sweden,Financials,Major Banks
Tata Consultancy Services,India,Information Technology,Computer Services
Monsanto,United States,Materials,Specialized Chemicals
Mastercard,United States,Information Technology,
Femsa,Mexico,Consumer Staples,Beverages
PayPal,United States,Consumer Discretionary,
Progressive,United States,Financials,Property & Casualty Insurance
Svenska Handelsbanken,Sweden,Financials,Major Banks
Mitsui Fudosan,Japan,Financials,Real Estate
SEB,Sweden,Financials,Major Banks
Bank Rakyat Indonesia,Indonesia,Financials,Regional Banks
Texas Instruments,United States,Information Technology,Semiconductors
Wilmar International,Singapore,Consumer Staples,Food Processing
Daiwa House Industry,Japan,Industrials,Construction Services
Baidu,China,Information Technology,Computer Services
Consolidated Edison,United States,Utilities,Electric Utilities
Maybank,Malaysia,Financials,Regional Banks
DISH Network,United States,Consumer Discretionary,Broadcasting & Cable
Citic Securities,China,Financials,Investment Services
American Electric,United States,Utilities,Electric Utilities
